orig	resp	ts	uid	socket.orig_h	socket.orig_p	socket.resp_h	socket.resp_p	services	state
10.10.12.101	104.223.143.132	1602537122.009066	CNOaVt2UA3yICQSzQ2	10.10.12.101	49996	104.223.143.132	80	HTTP, 	TIMEOUT
10.10.12.101	104.223.143.132	1602537122.009066	CNOaVt2UA3yICQSzQ2	10.10.12.101	49996	104.223.143.132	80	HTTP, 	REMOVED
10.10.12.101	104.223.143.132	1602537182.276657	CW2aE13KQBZvh5Oxuc	10.10.12.101	49997	104.223.143.132	80	HTTP, 	TIMEOUT
10.10.12.101	104.223.143.132	1602537182.276657	CW2aE13KQBZvh5Oxuc	10.10.12.101	49997	104.223.143.132	80	HTTP, 	REMOVED
10.10.12.101	10.10.12.1	1602537200.455427	CMW7ge4nsoMxXtlCLh	10.10.12.101	137	10.10.12.1	137	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602537200.455427	CMW7ge4nsoMxXtlCLh	10.10.12.101	137	10.10.12.1	137	DNS, 	REMOVED
10.10.12.101	10.10.12.1	1602537224.352358	CYz6e91AfMDtHdmpak	10.10.12.101	52223	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602537224.352358	CYz6e91AfMDtHdmpak	10.10.12.101	52223	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	10.10.12.1	1602537231.380301	CzziPn4z3Ti0UMub78	10.10.12.101	50889	10.10.12.1	53	DNS, 	TIMEOUT
10.10.12.101	10.10.12.1	1602537231.380301	CzziPn4z3Ti0UMub78	10.10.12.101	50889	10.10.12.1	53	DNS, 	REMOVED
10.10.12.101	104.223.143.132	1602537242.512585	CxYw8o4MkMxS9eM8s5	10.10.12.101	49998	104.223.143.132	80	HTTP, 	REMOVED
10.10.12.101	10.10.12.255	1602537204.170178	CbFnIe1NKO1xKVDw1c	10.10.12.101	138	10.10.12.255	138		REMOVED
